# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    3.08631869    3.08631572    1.77156474    3.68884406    2.86582126    0.54489720   -1.00000000  -1.10774e+01
    5.00    3.20320942    3.20320631    1.79320691    3.68994303    2.86492918    0.54489720   -1.00000000  -1.10647e+01
    5.00    3.39257640    3.39257307    1.82700507    3.69163661    2.86283451    0.54489720   -1.00000000  -1.10422e+01
    5.00    3.53679555    3.53679205    1.85159101    3.69280214    2.86086674    0.54489720   -1.00000000  -1.10251e+01
    5.00    3.67952218    3.67951851    1.87580907    3.69390204    2.85822941    0.54489720   -1.00000000  -1.10081e+01
    5.00    3.82851749    3.82851364    1.90078884    3.69501717    2.85503123    0.54489720   -1.00000000  -1.09908e+01
    5.00    4.00584664    4.00584258    1.92962916    3.69625052    2.85081584    0.54489720   -1.00000000  -1.09698e+01
    5.00    4.19815052    4.19814622    1.96024201    3.69744718    2.84444367    0.54489720   -1.00000000  -1.09391e+01
    5.00    4.35584835    4.35584386    1.98653462    3.69844383    2.83809087    0.54489720   -1.00000000  -1.09174e+01
    5.00    4.51564000    4.51563530    2.01426407    3.69949855    2.83074529    0.54489720   -1.00000000  -1.08982e+01
    5.00    4.68942649    4.68942159    2.04802531    3.70091787    2.81946000    0.54489720   -1.00000000  -1.08701e+01
    5.00    4.88003286    4.88002775    2.08748549    3.70262044    2.80412340    0.54489720   -1.00000000  -1.08323e+01
    5.00    5.03953833    5.03953302    2.12063264    3.70405157    2.79070245    0.54489720   -1.00000000  -1.08004e+01
    5.00    5.25971262    5.25970699    2.17035874    3.70586534    2.76679097    0.54489720   -1.00000000  -1.07487e+01
    5.00    5.42226547    5.42225958    2.21247436    3.70730365    2.74368376    0.54489720   -1.00000000  -1.07033e+01
    5.00    5.57101101    5.57100487    2.25740583    3.70883488    2.71662384    0.54489720   -1.00000000  -1.06521e+01
    5.00    5.69843260    5.69842622    2.30089292    3.71027820    2.68845115    0.54489720   -1.00000000  -1.05922e+01
    5.00    5.78804812    5.78804155    2.33594172    3.71149404    2.66486791    0.54489720   -1.00000000  -1.05435e+01
    5.00    5.88690322    5.88689644    2.37859599    3.71305218    2.63572913    0.54489720   -1.00000000  -1.04881e+01
    5.00    5.99006855    5.99006151    2.42797406    3.71505503    2.60196292    0.54489720   -1.00000000  -1.04276e+01
    5.00    6.07287043    6.07286316    2.47017282    3.71704636    2.57382973    0.54489720   -1.00000000  -1.03784e+01
    5.00    6.16653695    6.16652937    2.51727370    3.71974401    2.54442009    0.54489720   -1.00000000  -1.03275e+01
    5.00    6.29869815    6.29869011    2.57439450    3.72441070    2.51523573    0.54489720   -1.00000000  -1.02604e+01
    5.00    6.45084152    6.45083286    2.62879533    3.73122455    2.49832502    0.54489720   -1.00000000  -1.01986e+01
    5.00    6.57820011    6.57819088    2.66697998    3.73904361    2.49955999    0.54489720   -1.00000000  -1.01573e+01
    5.00    6.69008555    6.69007579    2.69853029    3.74710500    2.50740920    0.54489720   -1.00000000  -1.01307e+01
    5.00    6.79884943    6.79883914    2.72779637    3.75605840    2.52091113    0.54489720   -1.00000000  -1.01115e+01
    5.00    6.89110507    6.89109432    2.75240703    3.76501089    2.53800930    0.54489720   -1.00000000  -1.01002e+01
    5.00    6.97779485    6.97778364    2.77571868    3.77449195    2.55816489    0.54489720   -1.00000000  -1.00922e+01
    5.00    7.06411644    7.06410478    2.79964331    3.78470958    2.58063021    0.54489720   -1.00000000  -1.00855e+01
    5.00    7.13612856    7.13611650    2.82013990    3.79370160    2.60070618    0.54489720   -1.00000000  -1.00806e+01
    5.00    7.22110119    7.22108866    2.84424462    3.80440677    2.62464219    0.54489720   -1.00000000  -1.00721e+01
    5.00    7.30434112    7.30432815    2.86641584    3.81418931    2.64608264    0.54489720   -1.00000000  -1.00544e+01
    5.00    7.38652950    7.38651609    2.88892913    3.82394088    2.66700056    0.54489720   -1.00000000  -1.00374e+01
    5.00    7.46833545    7.46832159    2.91254256    3.83391569    2.68769069    0.54489720   -1.00000000  -1.00202e+01
    5.00    7.55001304    7.54999872    2.93724246    3.84412384    2.70822079    0.54489720   -1.00000000  -1.00031e+01
    5.00    7.62052848    7.62051375    2.95999752    3.85331763    2.72603738    0.54489720   -1.00000000  -9.98804e+00
    5.00    7.69681184    7.69679667    2.98566378    3.86350539    2.74522916    0.54489720   -1.00000000  -9.97110e+00
    5.00    7.76254403    7.76252846    3.00891793    3.87259826    2.76188538    0.54489720   -1.00000000  -9.95619e+00
    5.00    7.83263667    7.83262067    3.03499094    3.88268212    2.77992151    0.54489720   -1.00000000  -9.93981e+00
    5.00    7.89780673    7.89779032    3.05982083    3.89221274    2.79672278    0.54489720   -1.00000000  -9.92448e+00
    5.00    7.96257863    7.96256180    3.08545730    3.90198685    2.81366997    0.54489720   -1.00000000  -9.90905e+00
    5.00    8.01220792    8.01219077    3.10567927    3.90965561    2.82679501    0.54489720   -1.00000000  -9.89697e+00
    5.00    8.06843346    8.06841592    3.12926996    3.91858506    2.84194925    0.54489720   -1.00000000  -9.88305e+00
    5.00    8.13115157    8.13113360    3.15646423    3.92883125    2.85911641    0.54489720   -1.00000000  -9.86731e+00
    5.00    8.18669804    8.18667967    3.18129826    3.93818652    2.87469400    0.54489720   -1.00000000  -9.85296e+00
    5.00    8.23396147    8.23394275    3.20294398    3.94632556    2.88814905    0.54489720   -1.00000000  -9.84071e+00
    5.00    8.28870014    8.28868101    3.22851665    3.95598866    2.90417581    0.54489720   -1.00000000  -9.82622e+00
    5.00    8.33443828    8.33441881    3.25030566    3.96422966    2.91781329    0.54489720   -1.00000000  -9.81423e+00
    5.00    8.38333393    8.38331407    3.27392902    3.97325501    2.93292379    0.54489720   -1.00000000  -9.80104e+00
    5.00    8.42738942    8.42736920    3.29556806    3.98153237    2.94676609    0.54489720   -1.00000000  -9.78947e+00
    5.00    8.47926912    8.47924847    3.32137800    3.99149979    2.96361897    0.54489720   -1.00000000  -9.77569e+00
    5.00    8.51756970    8.51754873    3.34069312    3.99901276    2.97641776    0.54489720   -1.00000000  -9.76555e+00
    5.00    8.56771257    8.56769116    3.36626446    4.00904714    2.99368355    0.54489720   -1.00000000  -9.75236e+00
    5.00    8.60459021    8.60456848    3.38525426    4.01656323    3.00674356    0.54489720   -1.00000000  -9.74273e+00
    5.00    8.65274797    8.65272580    3.41025602    4.02657016    3.02436226    0.54489720   -1.00000000  -9.73029e+00
    5.00    8.68803500    8.68801250    3.42871137    4.03403694    3.03767386    0.54489720   -1.00000000  -9.72129e+00
    5.00    8.73399438    8.73397145    3.45278770    4.04390578    3.05554726    0.54489720   -1.00000000  -9.70982e+00
    5.00    8.76768424    8.76766098    3.47040085    4.05123663    3.06907132    0.54489720   -1.00000000  -9.70166e+00
    5.00    8.81153580    8.81151211    3.49329278    4.06091094    3.08723752    0.54489720   -1.00000000  -9.69138e+00
    5.00    8.85339721    8.85337309    3.51493669    4.07024131    3.10516885    0.54489720   -1.00000000  -9.68204e+00
